date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:09	56837/56837	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:08%20GMT	https://profilo.xyz/veratti	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti.html	(from )
17:30:09	3672/3672	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2012:30:09%20GMT	https://profilo.xyz/robots.txt		(from )
17:30:09	3875/3875	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Nov%202022%2013:55:30%20GMT	https://profilo.xyz/assets/front/img/user/61d5aa9fa9136.png	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/img/user/61d5aa9fa9136.png	(from https://profilo.xyz/veratti)
17:30:10	313188/313188	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Nov%202022%2013:55:29%20GMT	https://profilo.xyz/assets/front/css/plugin.min.css	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/css/plugin.min.css	(from https://profilo.xyz/veratti)
17:30:10	11990/11990	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Nov%202022%2013:55:29%20GMT	https://profilo.xyz/assets/front/css/profile/common.css	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/css/profile/common.css	(from https://profilo.xyz/veratti)
17:30:11	17130/17130	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Nov%202022%2013:55:29%20GMT	https://profilo.xyz/assets/front/css/profile/theme4/default.css	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/css/profile/theme4/default.css	(from https://profilo.xyz/veratti)
17:30:11	29706/29706	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Nov%202022%2013:55:29%20GMT	https://profilo.xyz/assets/front/css/profile/theme4/style.css	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/css/profile/theme4/style.css	(from https://profilo.xyz/veratti)
17:30:11	1875/1875	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Nov%202022%2013:55:29%20GMT	https://profilo.xyz/assets/front/css/profile/theme4/responsive.css	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/css/profile/theme4/responsive.css	(from https://profilo.xyz/veratti)
17:30:11	586/586	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2012:30:11%20GMT	https://profilo.xyz/assets/front/css/profile/common-base-color.php?color=F57236	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/css/profile/common-base-color9cb6.css	(from https://profilo.xyz/veratti)
17:30:12	437/437	---MC-	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202023%2012:30:11%20GMT	https://profilo.xyz/assets/front/css/profile/theme4/base-color.php?color=F57236	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/css/profile/theme4/base-color9cb6.css	(from https://profilo.xyz/veratti)
17:30:12	3875/3875	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Nov%202022%2013:55:30%20GMT	https://profilo.xyz/assets/front/img/user/61d5ac375c5e1.png	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/img/user/61d5ac375c5e1.png	(from https://profilo.xyz/veratti)
17:30:12	16794/16794	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:12%20GMT	https://profilo.xyz/veratti/services	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/services.html	(from https://profilo.xyz/veratti)
17:30:13	20015/20015	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:12%20GMT	https://profilo.xyz/veratti/portfolios	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/portfolios.html	(from https://profilo.xyz/veratti)
17:30:13	26358/26358	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:13%20GMT	https://profilo.xyz/veratti/blogs	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/blogs.html	(from https://profilo.xyz/veratti)
17:30:13	817/817	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Nov%202022%2013:55:29%20GMT	https://profilo.xyz/assets/front/img/profile1/theme3/lang.png	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/img/profile1/theme3/lang.png	(from https://profilo.xyz/veratti)
17:30:13	2830/2830	---M--	200	added ('OK')	application/pdf	date:Fri,%2018%20Nov%202022%2013:55:30%20GMT	https://profilo.xyz/assets/front/img/user/cv/61cef129d39a9.pdf	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/img/user/cv/61cef129d39a9.pdf	(from https://profilo.xyz/veratti)
17:30:14	15797/15797	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Feb%202023%2012:30:13%20GMT	https://profilo.xyz/veratti.pdf	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti.pdf	(from https://profilo.xyz/veratti)
17:30:14	15517/15517	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:14%20GMT	https://profilo.xyz/veratti/service/ecommerce-website/97	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/service/ecommerce-website/97.html	(from https://profilo.xyz/veratti)
17:30:15	15478/15478	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:14%20GMT	https://profilo.xyz/veratti/service/logo-design/98	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/service/logo-design/98.html	(from https://profilo.xyz/veratti)
17:30:15	15493/15493	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:15%20GMT	https://profilo.xyz/veratti/service/html-templates/99	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/service/html-templates/99.html	(from https://profilo.xyz/veratti)
17:30:16	21910/21910	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Nov%202022%2013:55:30%20GMT	https://profilo.xyz/assets/front/img/user/home_settings/61d314b0129f7.jpg	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/img/user/home_settings/61d314b0129f7.jpg	(from https://profilo.xyz/veratti)
17:30:16	44239/44239	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Nov%202022%2013:55:30%20GMT	https://profilo.xyz/assets/front/img/user/portfolios/1641224164.jpg	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/img/user/portfolios/1641224164.jpg	(from https://profilo.xyz/veratti)
17:30:17	18659/18659	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:16%20GMT	https://profilo.xyz/veratti/portfolio/ecommerce-website/110	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/portfolio/ecommerce-website/110.html	(from https://profilo.xyz/veratti)
17:30:17	84637/84637	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Nov%202022%2013:55:30%20GMT	https://profilo.xyz/assets/front/img/user/portfolios/1641224173.jpg	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/img/user/portfolios/1641224173.jpg	(from https://profilo.xyz/veratti)
17:30:17	18336/18336	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:17%20GMT	https://profilo.xyz/veratti/portfolio/logo-design/111	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/portfolio/logo-design/111.html	(from https://profilo.xyz/veratti)
17:30:17	89874/89874	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Nov%202022%2013:55:30%20GMT	https://profilo.xyz/assets/front/img/user/portfolios/1641224180.jpg	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/assets/front/img/user/portfolios/1641224180.jpg	(from https://profilo.xyz/veratti)
17:30:18	18318/18318	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2012:30:17%20GMT	https://profilo.xyz/veratti/portfolio/medical-app/112	C:/Users/Falcon/Desktop/Portfolio/profilo.xyz/veratti/portfolio/medical-app/112.html	(from https://profilo.xyz/veratti)
